method,lead_days,tss,hss,recall,precision,n,positives
persistence,1,0.30614035087719293,0.16463201385895423,0.6666666666666666,0.22011385199240988,1314,174
l1_solar_wind,1,0.4030248033877798,0.25634168630657495,0.6609195402298851,0.28117359413202936,1314,174
persistence,2,0.05713853599516028,0.04215294668957665,0.29310344827586204,0.159375,1314,174
l1_solar_wind,2,0.1094373865698729,0.04381869379598507,0.6954022988505747,0.15335868187579213,1314,174
persistence,3,0.019298245614035148,0.006051437216338905,0.8333333333333334,0.13513513513513514,1314,174
l1_solar_wind,3,0.03145795523290984,0.018677993193308314,0.3735632183908046,0.14285714285714285,1314,174
persistence,5,0.019298245614035148,0.006051437216338905,0.8333333333333334,0.13513513513513514,1314,174
l1_solar_wind,5,-0.01624319419237752,-0.010799722465232807,0.27586206896551724,0.12598425196850394,1314,174
persistence,7,0.023351482153660008,0.008150079706090399,0.735632183908046,0.13617021276595745,1314,174
l1_solar_wind,7,-0.0010586811857229428,-0.0005028229919404812,0.47701149425287354,0.1321656050955414,1314,174
persistence,10,0.06618269812462196,0.026396588228907208,0.6609195402298851,0.1450189155107188,1314,174
l1_solar_wind,10,0.051845130066545675,0.025058662709522804,0.5114942528735632,0.14518760195758565,1314,174
persistence,14,0.022474289171203865,0.007837263392174337,0.735632183908046,0.13602550478214664,1314,174
l1_solar_wind,14,0.03157894736842104,0.015120902040018182,0.5,0.14009661835748793,1314,174
persistence,20,-0.019570477918935292,-0.00614149161358914,0.7988505747126436,0.1296641791044776,1314,174
l1_solar_wind,20,0.04561403508771933,0.01463871590892547,0.8333333333333334,0.13902205177372962,1314,174
persistence,27,0.13064125831820933,0.08108437919478843,0.4367816091954023,0.17882352941176471,1314,174
l1_solar_wind,27,0.12749546279491836,0.07215303633329051,0.4827586206896552,0.17177914110429449,1314,174
persistence,30,-0.01551724137931032,-0.0045692603676784765,0.867816091954023,0.1303972366148532,1314,174
l1_solar_wind,30,-0.02943133696309741,-0.01061485425030548,0.6609195402298851,0.12749445676274945,1314,174
recurrence_27d,27,0.13064125831820933,0.08108437919478843,0.4367816091954023,0.17882352941176471,1314,174
climatology,,0.0,0.0,,,1314,174
cme_donki,2,0.038052026618269785,0.02057084924249247,0.43103448275862066,0.14340344168260039,1314,174
